0
7
0032_PIP3_2	0078_RAS	0054_RAS_2	0064_PIP3	0053_RAS_3	0039_MAPK_2	0015_Trametinib
0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0
1	1	0	0	0	0	0	1
0	0	1	0	0	0	0	0
1	0	1	0	0	0	0	1
0	1	1	0	0	0	0	0
1	1	1	0	0	0	0	1
0	0	0	1	0	0	0	0
1	0	0	1	0	0	0	0
0	1	0	1	0	0	0	1
1	1	0	1	0	0	0	1
0	0	1	1	0	0	0	1
1	0	1	1	0	0	0	1
0	1	1	1	0	0	0	1
1	1	1	1	0	0	0	1
0	0	0	0	1	0	0	0
1	0	0	0	1	0	0	1
0	1	0	0	1	0	0	0
1	1	0	0	1	0	0	1
0	0	1	0	1	0	0	0
1	0	1	0	1	0	0	1
0	1	1	0	1	0	0	0
1	1	1	0	1	0	0	1
0	0	0	1	1	0	0	1
1	0	0	1	1	0	0	1
0	1	0	1	1	0	0	1
1	1	0	1	1	0	0	1
0	0	1	1	1	0	0	1
1	0	1	1	1	0	0	1
0	1	1	1	1	0	0	1
1	1	1	1	1	0	0	1
0	0	0	0	0	1	0	1
1	0	0	0	0	1	0	1
0	1	0	0	0	1	0	1
1	1	0	0	0	1	0	1
0	0	1	0	0	1	0	1
1	0	1	0	0	1	0	1
0	1	1	0	0	1	0	1
1	1	1	0	0	1	0	1
0	0	0	1	0	1	0	1
1	0	0	1	0	1	0	1
0	1	0	1	0	1	0	1
1	1	0	1	0	1	0	1
0	0	1	1	0	1	0	1
1	0	1	1	0	1	0	1
0	1	1	1	0	1	0	1
1	1	1	1	0	1	0	1
0	0	0	0	1	1	0	1
1	0	0	0	1	1	0	1
0	1	0	0	1	1	0	1
1	1	0	0	1	1	0	1
0	0	1	0	1	1	0	1
1	0	1	0	1	1	0	1
0	1	1	0	1	1	0	1
1	1	1	0	1	1	0	1
0	0	0	1	1	1	0	1
1	0	0	1	1	1	0	1
0	1	0	1	1	1	0	1
1	1	0	1	1	1	0	1
0	0	1	1	1	1	0	1
1	0	1	1	1	1	0	1
0	1	1	1	1	1	0	1
1	1	1	1	1	1	0	1
0	0	0	0	0	0	1	0
1	0	0	0	0	0	1	0
0	1	0	0	0	0	1	0
1	1	0	0	0	0	1	0
0	0	1	0	0	0	1	0
1	0	1	0	0	0	1	0
0	1	1	0	0	0	1	0
1	1	1	0	0	0	1	0
0	0	0	1	0	0	1	0
1	0	0	1	0	0	1	0
0	1	0	1	0	0	1	0
1	1	0	1	0	0	1	0
0	0	1	1	0	0	1	0
1	0	1	1	0	0	1	0
0	1	1	1	0	0	1	0
1	1	1	1	0	0	1	0
0	0	0	0	1	0	1	0
1	0	0	0	1	0	1	1
0	1	0	0	1	0	1	0
1	1	0	0	1	0	1	1
0	0	1	0	1	0	1	0
1	0	1	0	1	0	1	1
0	1	1	0	1	0	1	0
1	1	1	0	1	0	1	1
0	0	0	1	1	0	1	1
1	0	0	1	1	0	1	1
0	1	0	1	1	0	1	1
1	1	0	1	1	0	1	1
0	0	1	1	1	0	1	1
1	0	1	1	1	0	1	1
0	1	1	1	1	0	1	1
1	1	1	1	1	0	1	1
0	0	0	0	0	1	1	1
1	0	0	0	0	1	1	1
0	1	0	0	0	1	1	1
1	1	0	0	0	1	1	1
0	0	1	0	0	1	1	1
1	0	1	0	0	1	1	1
0	1	1	0	0	1	1	1
1	1	1	0	0	1	1	1
0	0	0	1	0	1	1	1
1	0	0	1	0	1	1	1
0	1	0	1	0	1	1	1
1	1	0	1	0	1	1	1
0	0	1	1	0	1	1	1
1	0	1	1	0	1	1	1
0	1	1	1	0	1	1	1
1	1	1	1	0	1	1	1
0	0	0	0	1	1	1	1
1	0	0	0	1	1	1	1
0	1	0	0	1	1	1	1
1	1	0	0	1	1	1	1
0	0	1	0	1	1	1	1
1	0	1	0	1	1	1	1
0	1	1	0	1	1	1	1
1	1	1	0	1	1	1	1
0	0	0	1	1	1	1	1
1	0	0	1	1	1	1	1
0	1	0	1	1	1	1	1
1	1	0	1	1	1	1	1
0	0	1	1	1	1	1	1
1	0	1	1	1	1	1	1
0	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1
