Perturbation	Apofrac1	Apofrac2	Apofrac3	Apofrac	Prolfrac1	Prolfrac2	Prolfrac3	Prolfrac4	Prolfrac
ER_transcription_2=0	1.0	1.0	0.6704	0.8352	1.0	0.0	0.0	0.0	0.125
ER_transcription=0	1.0	1.0	0.6662	0.8331	0.0	0.0	0.0	0.0	0.0
Proliferation_3=0	1.0	1.0	0.3979	0.69895	1.0	0.9998	0.0	0.0	0.249975
Proliferation_4=0	1.0	1.0	0.4047	0.70235	1.0	1.0	0.0	0.0	0.25
Proliferation_2=0	1.0	1.0	0.4014	0.7007	1.0	0.0	0.0	0.0	0.125
Proliferation=0	1.0	1.0	0.3938	0.6969	0.0	0.9999	1.0E-4	0.0	0.25
cycD_CDK46_2=0	1.0	1.0	0.4003	0.70015	1.0	0.0	0.0	0.0	0.125
Apoptosis_3=0	1.0	1.0	0.0	0.5	1.0	0.9997	1.0E-4	0.0	0.2499875
Apoptosis_2=0	1.0	0.0	0.4045	0.553375	1.0	0.9998	0.0	0.0	0.249975
Ipatasertib=0	1.0	1.0	0.402	0.701	1.0	0.9997	1.0E-4	0.0	0.2499875
cycE_CDK2_T=0	1.0	1.0	0.4083	0.70415	1.0	0.9998	0.0	0.0	0.249975
Palbociclib=0	1.0	1.0	0.404	0.702	1.0	0.9998	0.0	0.0	0.249975
Translation=0	1.0	1.0	0.4854	0.7427	1.0	0.9997	1.0E-4	0.0	0.2499875
Fulvestrant=0	1.0	1.0	0.4098	0.7049	1.0	0.9998	0.0	0.0	0.249975
cycD_CDK46=0	1.0	1.0	0.4048	0.7024	1.0E-4	0.0	0.0	0.0	1.25E-5
Trametinib=0	1.0	1.0	0.4093	0.70465	1.0	0.9998	1.0E-4	0.0	0.25
Everolimus=0	1.0	1.0	0.4021	0.70105	1.0	0.9996	1.0E-4	0.0	0.249975
Apoptosis=0	0.0	1.0	0.4046	0.7023	1.0	0.9998	0.0	0.0	0.249975
p21_p27_T=0	1.0	1.0	0.4032	0.7016	1.0	1.0	0.0	0.0	0.25
mTORC2_pm=0	1.0	1.0	0.3975	0.69875	1.0	0.9999	0.0	0.0	0.2499875
Neratinib=0	1.0	1.0	0.3972	0.6986	1.0	0.9996	0.0	0.0	0.24995
Alpelisib=0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.5
cycE_CDK2=0	1.0	1.0	0.3985	0.69925	1.0	0.9995	0.0	0.0	0.2499375
cyclinD_2=0	1.0	1.0	0.3955	0.69775	1.0	0.0	0.0	0.0	0.125
HER2_3_2=0	1.0	1.0	0.4027	0.70135	1.0	0.9997	2.0E-4	0.0	0.2500125
FOXO3_Ub=0	1.0	1.0	0.4053	0.70265	1.0	0.9995	1.0E-4	0.0	0.2499625
IGF1R_T=0	1.0	1.0	0.4063	0.70315	1.0	0.9999	0.0	0.0	0.2499875
IGF1R_2=0	1.0	1.0	0.4053	0.70265	1.0	0.9999	1.0E-4	0.0	0.2500125
p21_p27=0	1.0	1.0	0.3993	0.69965	1.0	1.0	0.9995	0.0	0.499875
cyclinD=0	1.0	1.0	0.3984	0.6992	0.0	0.0	0.0	0.0	0.0
PDK1_pm=0	1.0	1.0	0.4111	0.70555	1.0	0.9998	1.0E-4	0.0	0.25
HER3_T=0	1.0	1.0	0.4001	0.70005	1.0	0.9999	0.0	0.0	0.2499875
PIP3_2=0	1.0	1.0	0.3966	0.6983	1.0	0.9997	1.0E-4	0.0	0.2499875
HER3_2=0	1.0	1.0	0.4136	0.7068	1.0	0.9998	0.0	0.0	0.249975
SGK1_T=0	1.0	1.0	0.4	0.7	1.0	0.9997	0.0	0.0	0.2499625
mTORC1=0	1.0	1.0	0.4705	0.73525	1.0	0.9997	2.0E-4	0.0	0.2500125
mTORC2=0	1.0	1.0	0.404	0.702	1.0	0.9997	0.0	0.0	0.2499625
ESR1_2=0	1.0	1.0	0.6616	0.8308	1.0	0.0	0.0	0.0	0.125
HER2_3=0	1.0	1.0	0.405	0.7025	1.0	0.9992	0.0	0.0	0.2499
MAPK_2=0	1.0	1.0	0.3966	0.6983	1.0	0.9999	1.0E-4	0.0	0.2500125
PRAS40=0	1.0	0.51	0.0	0.3775	1.0	1.0	0.9999	1.0E-4	0.500025
BCL2_T=0	1.0	1.0	0.6192	0.8096	1.0	1.0	1.0E-4	0.0	0.250025
PI3K_2=0	1.0	1.0	0.4037	0.70185	1.0	0.9997	1.0E-4	0.0	0.2499875
BIM_T=0	1.0	1.0	0.3954	0.6977	1.0	0.9998	1.0E-4	0.0	0.25
MYC_2=0	1.0	1.0	0.4054	0.7027	1.0	0.0	0.0	0.0	0.125
CDK46=0	1.0	1.0	0.393	0.6965	0.0	0.0	0.0	0.0	0.0
EIF4F=0	1.0	1.0	0.4674	0.7337	1.0	0.9995	0.0	0.0	0.2499375
FOXO3=0	1.0	0.3316	0.0	0.3329	1.0	0.0	0.0	0.0	0.125
KMT2D=0	1.0	1.0	0.6691	0.83455	1.0	0.0	0.0	0.0	0.125
E2F_3=0	1.0	1.0	0.4025	0.70125	1.0	0.9997	0.0	0.0	0.2499625
E2F_2=0	1.0	1.0	0.4024	0.7012	1.0	0.0	0.0	0.0	0.125
pRb_3=0	1.0	1.0	0.3989	0.69945	1.0	0.9997	0.0	0.0	0.2499625
pRb_2=0	1.0	1.0	0.4084	0.7042	1.0	0.0	0.0	0.0	0.125
RAS_3=0	1.0	1.0	0.4147	0.70735	1.0	0.9998	0.0	0.0	0.249975
RAS_2=0	1.0	1.0	0.3986	0.6993	1.0	0.9997	0.0	0.0	0.2499625
IGF1R=0	1.0	1.0	0.3879	0.69395	1.0	0.9996	0.0	0.0	0.24995
FOXA1=0	1.0	1.0	0.6697	0.83485	1.0	0.0	0.0	0.0	0.125
HER3=0	1.0	1.0	0.3962	0.6981	1.0	0.9997	1.0E-4	0.0	0.2499875
HER2=0	1.0	1.0	0.4047	0.70235	1.0	0.9999	0.0	0.0	0.2499875
BCL2=0	1.0	1.0	1.0	1.0	1.0	0.9997	1.0E-4	0.0	0.2499875
PBX1=0	1.0	1.0	0.6711	0.83555	1.0	0.0	0.0	0.0	0.125
ESR1=0	1.0	1.0	0.6678	0.8339	0.0	0.0	0.0	0.0	0.0
MCL1=0	1.0	1.0	0.5046	0.7523	1.0	0.9998	1.0E-4	0.0	0.25
SGK1=0	1.0	1.0	0.4018	0.7009	1.0	0.9996	1.0E-4	0.0	0.249975
PIP3=0	1.0	1.0	0.3959	0.69795	1.0	0.9998	2.0E-4	0.0	0.250025
MAPK=0	1.0	1.0	0.4001	0.70005	1.0	0.9996	2.0E-4	0.0	0.25
PDK1=0	1.0	1.0	0.4009	0.70045	1.0	0.9996	0.0	0.0	0.24995
PI3K=0	1.0	1.0	0.397	0.6985	1.0	1.0	0.0	0.0	0.25
