Perturbation	Apofrac1	Apofrac2	Apofrac3	Apofrac	Prolfrac1	Prolfrac2	Prolfrac3	Prolfrac4	Prolfrac
ER_transcription=0-ER_transcription_2=0	1.0	1.0	0.6586	0.8293	0.0	0.0	0.0	0.0	0.0
Proliferation_3=0-ER_transcription_2=0	1.0	1.0	0.67	0.835	1.0	0.0	0.0	0.0	0.125
Proliferation_3=0-ER_transcription=0	1.0	1.0	0.6671	0.83355	0.0	0.0	0.0	0.0	0.0
Proliferation_4=0-ER_transcription_2=0	1.0	1.0	0.6651	0.83255	1.0	0.0	0.0	0.0	0.125
Proliferation_4=0-ER_transcription=0	1.0	1.0	0.6651	0.83255	0.0	0.0	0.0	0.0	0.0
Proliferation_4=0-Proliferation_3=0	1.0	1.0	0.3896	0.6948	1.0	0.9996	0.0	0.0	0.24995
Proliferation_2=0-ER_transcription_2=0	1.0	1.0	0.6642	0.8321	1.0	0.0	0.0	0.0	0.125
Proliferation_2=0-ER_transcription=0	1.0	1.0	0.6724	0.8362	0.0	0.0	0.0	0.0	0.0
Proliferation_2=0-Proliferation_3=0	1.0	1.0	0.4087	0.70435	1.0	0.0	0.0	0.0	0.125
Proliferation_2=0-Proliferation_4=0	1.0	1.0	0.4059	0.70295	1.0	0.0	0.0	0.0	0.125
Proliferation=0-ER_transcription_2=0	1.0	1.0	0.68	0.84	0.0	0.0	0.0	0.0	0.0
Proliferation=0-ER_transcription=0	1.0	1.0	0.6624	0.8312	0.0	0.0	0.0	0.0	0.0
Proliferation=0-Proliferation_3=0	1.0	1.0	0.4036	0.7018	0.0	0.9997	0.0	0.0	0.249925
Proliferation=0-Proliferation_4=0	1.0	1.0	0.3985	0.69925	0.0	0.9994	3.0E-4	0.0	0.249925
Proliferation=0-Proliferation_2=0	1.0	1.0	0.3927	0.69635	0.0	0.0	0.0	0.0	0.0
cycD_CDK46_2=0-ER_transcription_2=0	1.0	1.0	0.6687	0.83435	1.0	0.0	0.0	0.0	0.125
cycD_CDK46_2=0-ER_transcription=0	1.0	1.0	0.6691	0.83455	0.0	0.0	0.0	0.0	0.0
cycD_CDK46_2=0-Proliferation_3=0	1.0	1.0	0.4038	0.7019	1.0	0.0	0.0	0.0	0.125
cycD_CDK46_2=0-Proliferation_4=0	1.0	1.0	0.4059	0.70295	1.0	0.0	0.0	0.0	0.125
cycD_CDK46_2=0-Proliferation_2=0	1.0	1.0	0.4079	0.70395	1.0	0.0	0.0	0.0	0.125
cycD_CDK46_2=0-Proliferation=0	1.0	1.0	0.405	0.7025	0.0	0.0	0.0	0.0	0.0
Apoptosis_3=0-ER_transcription_2=0	1.0	1.0	0.0	0.5	1.0	0.0	0.0	0.0	0.125
Apoptosis_3=0-ER_transcription=0	1.0	1.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
Apoptosis_3=0-Proliferation_3=0	1.0	1.0	0.0	0.5	1.0	0.9993	0.0	0.0	0.2499125
Apoptosis_3=0-Proliferation_4=0	1.0	1.0	0.0	0.5	1.0	0.9995	0.0	0.0	0.2499375
Apoptosis_3=0-Proliferation_2=0	1.0	1.0	0.0	0.5	1.0	0.0	2.0E-4	0.0	0.125075
Apoptosis_3=0-Proliferation=0	1.0	1.0	0.0	0.5	0.0	0.9997	1.0E-4	0.0	0.24995
Apoptosis_3=0-cycD_CDK46_2=0	1.0	1.0	0.0	0.5	1.0	0.0	0.0	0.0	0.125
Apoptosis_2=0-ER_transcription_2=0	1.0	0.0	0.6659	0.749425	1.0	0.0	0.0	0.0	0.125
Apoptosis_2=0-ER_transcription=0	1.0	0.0	0.6662	0.74965	0.0	0.0	0.0	0.0	0.0
Apoptosis_2=0-Proliferation_3=0	1.0	0.0	0.3995	0.549625	1.0	0.9995	0.0	0.0	0.2499375
Apoptosis_2=0-Proliferation_4=0	1.0	0.0	0.3903	0.542725	1.0	0.9997	1.0E-4	0.0	0.2499875
Apoptosis_2=0-Proliferation_2=0	1.0	0.0	0.3979	0.548425	1.0	0.0	0.0	0.0	0.125
Apoptosis_2=0-Proliferation=0	1.0	0.0	0.4045	0.553375	0.0	0.9997	0.0	0.0	0.249925
Apoptosis_2=0-cycD_CDK46_2=0	1.0	0.0	0.4039	0.552925	1.0	0.0	0.0	0.0	0.125
Apoptosis_2=0-Apoptosis_3=0	1.0	0.0	0.0	0.25	1.0	0.9996	0.0	0.0	0.24995
Ipatasertib=0-ER_transcription_2=0	1.0	1.0	0.6704	0.8352	1.0	0.0	0.0	0.0	0.125
Ipatasertib=0-ER_transcription=0	1.0	1.0	0.6716	0.8358	0.0	0.0	0.0	0.0	0.0
Ipatasertib=0-Proliferation_3=0	1.0	1.0	0.406	0.703	1.0	0.9997	0.0	0.0	0.2499625
Ipatasertib=0-Proliferation_4=0	1.0	1.0	0.4006	0.7003	1.0	0.9997	0.0	0.0	0.2499625
Ipatasertib=0-Proliferation_2=0	1.0	1.0	0.3918	0.6959	1.0	0.0	0.0	0.0	0.125
Ipatasertib=0-Proliferation=0	1.0	1.0	0.3999	0.69995	0.0	1.0	1.0E-4	0.0	0.250025
Ipatasertib=0-cycD_CDK46_2=0	1.0	1.0	0.4075	0.70375	1.0	0.0	0.0	0.0	0.125
Ipatasertib=0-Apoptosis_3=0	1.0	1.0	0.0	0.5	1.0	0.9992	0.0	0.0	0.2499
Ipatasertib=0-Apoptosis_2=0	1.0	0.0	0.4003	0.550225	1.0	0.9995	1.0E-4	0.0	0.2499625
cycE_CDK2_T=0-ER_transcription_2=0	1.0	1.0	0.6708	0.8354	1.0	0.0	0.0	0.0	0.125
cycE_CDK2_T=0-ER_transcription=0	1.0	1.0	0.6697	0.83485	0.0	0.0	0.0	0.0	0.0
cycE_CDK2_T=0-Proliferation_3=0	1.0	1.0	0.3897	0.69485	1.0	0.9997	0.0	0.0	0.2499625
cycE_CDK2_T=0-Proliferation_4=0	1.0	1.0	0.3997	0.69985	1.0	0.9997	0.0	0.0	0.2499625
cycE_CDK2_T=0-Proliferation_2=0	1.0	1.0	0.3997	0.69985	1.0	0.0	0.0	0.0	0.125
cycE_CDK2_T=0-Proliferation=0	1.0	1.0	0.4026	0.7013	0.0	0.9994	0.0	0.0	0.24985
cycE_CDK2_T=0-cycD_CDK46_2=0	1.0	1.0	0.401	0.7005	1.0	0.0	0.0	0.0	0.125
cycE_CDK2_T=0-Apoptosis_3=0	1.0	1.0	0.0	0.5	1.0	0.9994	0.0	0.0	0.249925
cycE_CDK2_T=0-Apoptosis_2=0	1.0	0.0	0.3888	0.5416	1.0	0.9995	0.0	0.0	0.2499375
